mgm results :
value 5.333333333333334 : 1     Initial costs : 3.3333333333333335
value 3.0 : 1     Initial costs : 1.0
value 4.0 : 2     Initial costs : 2.0, 2.0
value 6.333333333333334 : 2     Initial costs : 6.333333333333333, 4.333333333333333
value 7.0 : 1     Initial costs : 7.0
value 2.3333333333333335 : 1     Initial costs : 2.3333333333333335
value 5.0 : 1     Initial costs : 3.0
value 9.0 : 1     Initial costs : 7.0
value 6.666666666666666 : 2     Initial costs : 4.666666666666666, 6.666666666666666
value 7.333333333333334 : 1     Initial costs : 7.333333333333333
value 8.666666666666666 : 1     Initial costs : 6.666666666666666
value 10.666666666666666 : 1     Initial costs : 10.666666666666666
value 9.333333333333334 : 1     Initial costs : 9.333333333333332
value 7.666666666666666 : 1     Initial costs : 7.666666666666666
value 9.666666666666666 : 1     Initial costs : 9.666666666666666
value 0.0 : 1     Initial costs : -2.0
value 1.0 : 1     Initial costs : -1.0

mcs_mgm results :
value -5.0 : 17     Initial costs : 2.333333333333333, 4.333333333333333, 8.333333333333332, 3.0, 7.333333333333334, 1.6666666666666665, 6.333333333333333, 8.333333333333334, 0.0, 4.0, 0.3333333333333335, 1.0, 3.0, -3.0, 6.666666666666666, 4.666666666666666, 7.333333333333334
value -3.0 : 2     Initial costs : 3.666666666666666, 6.333333333333333
value -2.333333333333334 : 1     Initial costs : 0.33333333333333304

gca_mgm results :
value -5.0 : 17     Initial costs : 7.666666666666666, 1.333333333333333, 2.333333333333333, -1.0, 1.0, 4.0, -3.0, 3.0, 0.33333333333333304, 0.0, 1.0, 0.0, 3.0, 2.333333333333333, -2.0, 5.0, 3.0
value -1.3333333333333335 : 1     Initial costs : 0.6666666666666661
value -4.0 : 1     Initial costs : 8.666666666666666
value -1.0 : 1     Initial costs : 2.0
